,Title,NSE,Strength,Weakness,Oppurtunity,Threat
10,Adani Trans,ADANITRANS,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Company with high TTM EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Negative Breakdown First Support (LTP < S1)', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt']",['RSI indicating price strength'],None
11,Aditya Birla F,ABFRL,"['Promoters increasing shareholding QoQ', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Rising other income, and low operating income', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 4 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
12,Advanced Enzyme,ADVENZYMES,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Promoter holding decreased by more than -2% QoQ', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Promoter decreasing their shareholding']","['Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low']","['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Increasing Trend in Non-Core Income']"
13,Aegis Logistics,AEGISCHEM,"['Bullish Harami  (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Companies with rising net profit margins - quarterly as well as TTM basis']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Positive Breakout First Resistance ( LTP > R1)', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']",['Increasing Trend in Non-Core Income']
14,AFL,ARVINDFASN,"['Promoters increasing shareholding QoQ', 'Promoter holding increased more than 2% QoQ', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Rising other income, and low operating income', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Stock with Low PE (PE < = 10)'],"['Companies Increasing Debt as per Annual Report', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
15,AGL,ADANIGAS,"['Strong Annual EPS Growth', 'New 52 Week High', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low']",['Stocks with high PE (PE > 40)']
16,AIA Engineering,AIAENG,"['High Piotroski Score - Companies with strong financials', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']",None
17,Ajanta Pharma,AJANTPHARM,"['Company with high TTM EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing profits every quarter for the past 3 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']",['Inefficient use of assets to generate profits - ROA declining in the last 2 years'],['Brokers upgraded recommendation or target price in the past three months'],None
18,Akzo Nobel,AKZOINDIA,"['Rising Net Cash Flow and Cash from Operating activity', 'Bullish Harami  (Bullish Reversal)', 'Company with No Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining profits every quarter for the past 2 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",None,"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Stocks with high PE (PE > 40)']"
19,Alembic Pharma,APLLTD,"['Company with high TTM EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']","['Promoter holding decreased by more than -2% QoQ', 'Bearish Engulfing (Bearish Reversal)', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength', 'Insiders bought stocks']",['Increasing Trend in Non-Core Income']
20,Alkem Lab,ALKEM,"['Company with high TTM EPS Growth', 'Strong QoQ EPS Growth in recent results', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Declining Revenue every quarter for the past 3 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'RSI indicating price strength']",['Increasing Trend in Non-Core Income']
21,Alkyl Amines,ALKYLAMINE,"['High Piotroski Score - Companies with strong financials', 'Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Street Favorite: High Analyst Rating with at least 20% upside', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength', 'High Volume, High Gain']",['Red Flag: Resignation of Top Management']
22,Allcargo,ALLCARGO,"['Increasing Revenue every quarter for the past 2 quarters', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'Negative Breakdown First Support (LTP < S1)', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'High volume, top losers']",['Highest Recovery from 52 Week Low'],['Red Flag: Resignation of Top Management']
23,Alok Industries,ALOKINDS,['FII / FPI or Institutions increasing their shareholding'],"['Negative Breakdown First Support (LTP < S1)', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)']","['Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
24,Amara Raja Batt,AMARAJABAT,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Recent Broker Downgrades in Reco or Target Price']
25,Amber Enterpris,AMBER,"['Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Promoter holding decreased by more than -2% QoQ', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
26,Ambuja Cements,AMBUJACEM,"['Rising Net Cash Flow and Cash from Operating activity', 'MACD Crossover Above Signal Line', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'High dividends, with rising dividend yields over last five years', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",None
27,APL Apollo,APLAPOLLO,"['High Growth Stock with Promoters increasing shareholding', 'Promoters increasing shareholding QoQ', 'Company with high TTM EPS Growth', 'Strong QoQ EPS Growth in recent results', 'New 52 Week High', 'Good quarterly growth in the recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Hanging Man (Bearish Reversal)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength', 'Insiders bought stocks']","['Companies where promoters have increased their pledged stocks', 'Increasing Trend in Non-Core Income', 'Insiders sold stocks']"
28,Apollo Hospital,APOLLOHOSP,"['Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['Negative Breakdown Second Support (LTP < S2)', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Brokers upgraded recommendation or target price in the past three months'],"['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
29,Apollo Tyres,APOLLOTYRE,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Companies Increasing Debt as per Annual Report']
30,Ashok Leyland,ASHOKLEY,"['FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
31,Ashoka Buildcon,ASHOKA,"['Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages', 'Shooting Star (Bearish Reversal)']",['Brokers upgraded recommendation or target price in the past three months'],"['Profit to Loss Companies', 'Increasing Trend in Non-Core Income']"
