,Company Name,NSE,title1,date1,desc1,link1,title2,date2,desc2,link2,title3,date3,desc3,link3
10,Adani Trans,ADANITRANS,Adani Trans Standalone December 2020 Net Sales At Rs ...,2 weeks ago,"193.48 crore in December 2019. Adani Trans shares closed at 504.70 on February 03, 2021 (NSE) and has given 118.67% returns over the last 6 months and ...",https://www.moneycontrol.com/news/business/earnings/adani-trans-standalone-december-2020-net-sales-at-rs-304-72-crore-up-58-39-y-o-y-6451331.html,These 4 Measures Indicate That Adani Transmission (NSE ...,1 month ago,"These 4 Measures Indicate That Adani Transmission (NSE:ADANITRANS) Is Using Debt Extensively. By: Simply Wall St. Published: January 19, 2021.",https://simplywall.st/stocks/in/utilities/nse-adanitrans/adani-transmission-shares/news/these-4-measures-indicate-that-adani-transmission-nseadanitr,Is Adani Transmission Limited's (NSE:ADANITRANS) 8.8 ...,28-Nov-20,"Is Adani Transmission Limited's (NSE:ADANITRANS) 8.8% ROE Strong Compared To Its Industry? By: Simply Wall St. Published: November 27, 2020.",https://simplywall.st/stocks/in/utilities/nse-adanitrans/adani-transmission-shares/news/is-adani-transmission-limiteds-nseadanitrans-88-roe-strong-c
11,Aditya Birla F,ABFRL,"Workwear Market Trends 2021 | Growth by Top Companies: Aditya Birla Fashion and Retail Ltd. (ABFRL), Raymond Limited, The WORKWEAR Group",5 days ago,"(ABFRL), Raymond Limited, The WORKWEAR Group, Wesfarmers, Vostok Service, Lantian Hewu, Yihe, Zhejiang Giuseppe Garment, China Garments, Provogue, ...",https://murphyshockeylaw.net/uncategorized/2340770/workwear-market-trends-2021-growth-by-top-companies-aditya-birla-fashion-and-retail-ltd-abfrl-raymond-limited-the-workwear-group/,Q3FY21 Result Update - Aditya Birla Fashion and Retail ...,6 days ago,ABFRL reported a strong QoQ recovery aided by festive demand and wedding season. Overall revenue recovery reached 80% in Q3FY21 vs. 45% in Q2FY21.,https://www.equitybulls.com/admin/news2006/news_det.asp?id=284106,"No RBI, ED probe launched into alleged FDI violation in ...",1 week ago,"ABFRL manufactures and retails apparels, accessories, and footwear through multiple multiple retail formats including retail and departmental stores, multi-brand ...",https://www.financialexpress.com/industry/sme/no-rbi-ed-probe-launched-into-alleged-fdi-violation-in-flipkart-aditya-birla-fashion-deal-mos-commerce/2194588/
12,Advanced Enzyme,ADVENZYMES,Don't Ignore The Fact That This Insider Just Sold Some ...,5 hours ago,"We note that a Advanced Enzyme Technologies Limited (NSE:ADVENZYMES) insider, Madhusudan Soni, recently sold ₹5.7m worth of stock for ₹367 per ...",https://simplywall.st/stocks/in/materials/nse-advenzymes/advanced-enzyme-technologies-shares/news/dont-ignore-the-fact-that-this-insider-just-sold-some-shares-209,Advanced Enzyme Technologies Limited's (NSE ...,3 days ago,Advanced Enzyme Technologies Limited's (NSE:ADVENZYMES) Stock's On An Uptrend: Are Strong Financials Guiding The Market? By: Simply Wall St. Published ...,https://simplywall.st/stocks/in/materials/nse-advenzymes/advanced-enzyme-technologies-shares/news/advanced-enzyme-technologies-limiteds-nseadvenzymes-stocks-o,I Built A List Of Growing Companies And Advanced Enzyme ...,2 weeks ago,"I Built A List Of Growing Companies And Advanced Enzyme Technologies (NSE:ADVENZYMES) Made The Cut. By: Simply Wall St. Published: February 03, 2021.",https://simplywall.st/stocks/in/materials/nse-advenzymes/advanced-enzyme-technologies-shares/news/i-built-a-list-of-growing-companies-and-advanced-enzyme-tech
13,Aegis Logistics,AEGISCHEM,What Is The Ownership Structure Like For Aegis Logistics ...,2 weeks ago,"If you want to know who really controls Aegis Logistics Limited (NSE:AEGISCHEM), then you'll have to look at the makeup of its share registry. Large companies ...",https://simplywall.st/stocks/in/energy/nse-aegischem/aegis-logistics-shares/news/what-is-the-ownership-structure-like-for-aegis-logistics-lim,Newsflash: Aegis Logistics Limited (NSE:AEGISCHEM ...,1 month ago,"Newsflash: Aegis Logistics Limited (NSE:AEGISCHEM) Analysts Have Been Trimming Their Revenue Forecasts. By: Simply Wall St. Published: January 13, 2021.",https://simplywall.st/stocks/in/energy/nse-aegischem/aegis-logistics-shares/news/newsflash-aegis-logistics-limited-nseaegischem-analysts-have,Returns On Capital At Aegis Logistics (NSE:AEGISCHEM ...,28-Dec-20,"Returns On Capital At Aegis Logistics (NSE:AEGISCHEM) Paint An Interesting Picture. By: Simply Wall St. Published: December 27, 2020.",https://simplywall.st/stocks/in/energy/nse-aegischem/aegis-logistics-shares/news/returns-on-capital-at-aegis-logistics-nseaegischem-paint-an
14,AFL,ARVINDFASN,Insider Buying: The Arvind Fashions Limited (NSE ...,1 week ago,"Insider Buying: The Arvind Fashions Limited (NSE:ARVINDFASN) Chief Financial Officer Just Bought 37,500% More Shares. By: Simply Wall St. Published ...",https://simplywall.st/stocks/in/retail/nse-arvindfasn/arvind-fashions-shares/news/insider-buying-the-arvind-fashions-limited-nsearvindfasn-chi,Would Shareholders Who Purchased Arvind Fashions' (NSE ...,4 weeks ago,Would Shareholders Who Purchased Arvind Fashions' (NSE:ARVINDFASN) Stock Year Be Happy With The Share price Today? By: Simply Wall St. Published ...,https://simplywall.st/stocks/in/retail/nse-arvindfasn/arvind-fashions-shares/news/would-shareholders-who-purchased-arvind-fashions-nsearvindfa,Is Arvind Fashions (NSE:ARVINDFASN) Using Debt Sensibly?,1 month ago,"Is Arvind Fashions (NSE:ARVINDFASN) Using Debt Sensibly? By: Simply Wall St. Published: January 04, 2021.",https://simplywall.st/stocks/in/retail/nse-arvindfasn/arvind-fashions-shares/news/is-arvind-fashions-nsearvindfasn-using-debt-sensibly
15,AGL,ADANIGAS,"City Gas Distribution Market Future Growth Factors and Opportunities, SWOT Analysis, By Top Players- Gujarat Gas Indraprastha Gas Mahanagar Gas GAIL Gas Adani Gas Maharashtra Natural Gas Central UP Gas Bhagyanagar Gas Tripura Natural Gas Sabarmati Gas Green Gas",2 days ago,... Gas Mahanagar Gas GAIL Gas Adani Gas Maharashtra Natural Gas Central U.P Gas Bhagyanagar Gas Tripura Natural Gas Sabarmati Gas Green Gas.,https://www.expresskeeper.com/2021/02/19/city-gas-distribution-market-future-growth-factors-and-opportunities-swot-analysis-by-top-players-gujarat-gas-indraprastha-gas-mahanagar-gas-gail-gas-adani-gas-maharashtra-natural-gas-central-u-p/,"City Gas Distribution Market 2021-2025 | Growth Analysis by Key Players – Gujarat Gas, Indraprastha Gas, Mahanagar Gas, GAIL Gas, Adani Gas, Maharashtra Natural Gas, Central UP Gas, Bhagyanagar Gas, Tripura Natural Gas, Sabarmati Gas, Green Gas",2 days ago,"... Gas, Mahanagar Gas, GAIL Gas, Adani Gas, Maharashtra Natural Gas, Central U.P Gas, Bhagyanagar Gas, Tripura Natural Gas, Sabarmati Gas, Green Gas.",https://neighborwebsj.com/uncategorized/3483757/city-gas-distribution-market-2021-2025-growth-analysis-by-key-players-gujarat-gas-indraprastha-gas-mahanagar-gas-gail-gas-adani-gas-maharashtra-natural-gas-central-u-p-gas-bhagyanagar-gas/,"Global and China City Gas Distribution Market Expected to Reach Top CAGR: Gujarat Gas, Indraprastha Gas, Mahanagar Gas, GAIL Gas, Adani Gas, Maharashtra Natural Gas, Central UP Gas, etc.",2 days ago,"... Market Expected to Reach Top CAGR: Gujarat Gas, Indraprastha Gas, Mahanagar Gas, GAIL Gas, Adani Gas, Maharashtra Natural Gas, Central U.P Gas, etc.",https://www.expresskeeper.com/2021/02/19/global-and-china-city-gas-distribution-market-expected-to-reach-top-cagr-gujarat-gas-indraprastha-gas-mahanagar-gas-gail-gas-adani-gas-maharashtra-natural-gas-central-u-p-gas-etc/
16,AIA Engineering,AIAENG,Are Robust Financials Driving The Recent Rally In AIA ...,3 weeks ago,"AIA Engineering's (NSE:AIAENG) stock is up by a considerable 18% over the past three months. Given the company's impressive performance, we decided to ...",https://simplywall.st/stocks/in/capital-goods/nse-aiaeng/aia-engineering-shares/news/are-robust-financials-driving-the-recent-rally-in-aia-engine,If You Had Bought AIA Engineering (NSE:AIAENG) Shares ...,1 month ago,"If You Had Bought AIA Engineering (NSE:AIAENG) Shares Five Years Ago You'd Have Earned 156% Returns. By: Simply Wall St. Published: January 18, 2021.",https://simplywall.st/stocks/in/capital-goods/nse-aiaeng/aia-engineering-shares/news/if-you-had-bought-aia-engineering-nseaiaeng-shares-five-year,Is AIA Engineering (NSE:AIAENG) Using Too Much Debt?,24-Dec-20,"Is AIA Engineering (NSE:AIAENG) Using Too Much Debt? By: Simply Wall St. Published: December 23, 2020.",https://simplywall.st/stocks/in/capital-goods/nse-aiaeng/aia-engineering-shares/news/is-aia-engineering-nseaiaeng-using-too-much-debt
17,Ajanta Pharma,AJANTPHARM,The Ajanta Pharma (NSE:AJANTPHARM) Share Price Is Up ...,3 weeks ago,"The Ajanta Pharma (NSE:AJANTPHARM) Share Price Is Up 56% And Shareholders Are Holding On. By: Simply Wall St. Published: January 30, 2021.",https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-ajantpharm/ajanta-pharma-shares/news/the-ajanta-pharma-nseajantpharm-share-price-is-up-56-and-sha,What Can We Make Of Ajanta Pharma's (NSE:AJANTPHARM ...,1 month ago,"Yogesh Agrawal became the CEO of Ajanta Pharma Limited (NSE:AJANTPHARM) in 2007, and we think it's a good time to look at the executive's compensation ...",https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-ajantpharm/ajanta-pharma-shares/news/what-can-we-make-of-ajanta-pharmas-nseajantpharm-ceo-compens,What Percentage Of Ajanta Pharma Limited (NSE ...,26-Dec-20,"What Percentage Of Ajanta Pharma Limited (NSE:AJANTPHARM) Shares Do Insiders Own? By: Simply Wall St. Published: December 25, 2020. NSEI: ...",https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-ajantpharm/ajanta-pharma-shares/news/what-percentage-of-ajanta-pharma-limited-nseajantpharm-share
18,Akzo Nobel,AKZOINDIA,Is It Worth Considering Akzo Nobel India Limited (NSE ...,1 week ago,"Is It Worth Considering Akzo Nobel India Limited (NSE:AKZOINDIA) For Its Upcoming Dividend? By: Simply Wall St. Published: February 12, 2021. NSEI: ...",https://simplywall.st/stocks/in/materials/nse-akzoindia/akzo-nobel-india-shares/news/is-it-worth-considering-akzo-nobel-india-limited-nseakzoindi,Takeaways From ICICI Securities' Conversations With Paint ...,1 month ago,AKZOINDIA2258.90. -1.10-0.05%. Add to Watchlist. KANSAINER590.50. +4.60+0.79%. Add to Watchlist. ASIANPAINT2503.30. -3.80-0.15%. Add to Watchlist.,https://www.bloombergquint.com/research-reports/takeaways-from-icici-securities-conversations-with-paint-dealers-in-mumbai,Will Akzo Nobel India (NSE:AKZOINDIA) Multiply In Value ...,02-Dec-20,"Will Akzo Nobel India (NSE:AKZOINDIA) Multiply In Value Going Forward? By: Simply Wall St. Published: December 01, 2020.",https://simplywall.st/stocks/in/materials/nse-akzoindia/akzo-nobel-india-shares/news/will-akzo-nobel-india-nseakzoindia-multiply-in-value-going-f
19,Alembic Pharma,APLLTD,Will Weakness in Alembic Pharmaceuticals Limited's (NSE ...,1 month ago,Will Weakness in Alembic Pharmaceuticals Limited's (NSE:APLLTD) Stock Prove Temporary Given Strong Fundamentals? By: Simply Wall St. Published: January ...,https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-aplltd/alembic-pharmaceuticals-shares/news/will-weakness-in-alembic-pharmaceuticals-limiteds-nseaplltd,Alembic Pharmaceuticals Limited Just Missed Earnings And ...,1 month ago,Alembic Pharmaceuticals Limited (NSE:APLLTD) just released its latest quarterly report and things are not looking great. Results look to have been somewhat ...,https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-aplltd/alembic-pharmaceuticals-shares/news/alembic-pharmaceuticals-limited-just-missed-earnings-and-its,What We Learned About Alembic Pharmaceuticals' (NSE ...,09-Dec-20,What We Learned About Alembic Pharmaceuticals' (NSE:APLLTD) CEO Compensation · How Does Total Compensation For Chirayu Amin Compare With Other ...,https://simplywall.st/stocks/in/pharmaceuticals-biotech/nse-aplltd/alembic-pharmaceuticals-shares/news/what-we-learned-about-alembic-pharmaceuticals-nseaplltd-ceo
20,Alkem Lab,ALKEM,"Veterinary Cephalosporin Market Size 2021 | Union Chempharma, Qilu Antibiotics, Lupin Pharmaceuticals, Hospira, Dhanuka Laboratories, Fukang",31 mins ago,"... Hospira, Dhanuka Laboratories, Fukang, Dongying Pharmaceutical, Alkem, SALUBRIS, Aenova, Zoetis, Hanford, Laxon Drugs, Orchid Chemicals?",https://www.nymarketreports.com/uncategorized/57425/veterinary-cephalosporin-market-size-2021-union-chempharma-qilu-antibiotics-lupin-pharmaceuticals-hospira-dhanuka-laboratories-fukang/,Cefaclor Market Key Players and Opportunity Analysis – The ...,12 hours ago,"... Lupin Pharmaceuticals, Fukang, Dongying Pharmaceutical, Alkem, SALUBRIS, LIVZON, CSPC, Covalent Laboratories, LKPC, HPGC, Huafangpharm.",https://bisouv.com/uncategorized/2234172/cefaclor-market-key-players-and-opportunity-analysis/,"Impact of COVID-19 on Blau syndrome Market 2021 | Size, Growth, Demand, Opportunities & Forecast To 2027 | Johnson & Johnson Services Inc, Amgen Inc, Abbvie Inc, Pfizer Inc",16 hours ago,"... Pfizer Inc , F. Hoffmann-La Roche Ltd, Novartis AG, Teva Pharmaceutical Industries Ltd, Hikma Pharmaceuticals PLC, Mylan N.V., Apotex Inc, Alkem Labs.",https://neighborwebsj.com/news/3579158/impact-of-covid-19-on-blau-syndrome-market-2021-size-growth-demand-opportunities-forecast-to-2027-johnson-johnson-services-inc-amgen-inc-abbvie-inc-pfizer-inc/
21,Alkyl Amines,ALKYLAMINE,"Alkyl Amine Market Size 2021 | Top Key Players, Business ...",1 day ago,Industrie Alkyl Amine expects significant growth over the forecast period and shows a robust CAGR. According to the latest research report published by Verified ...,https://bisouv.com/uncategorized/2170206/alkyl-amine-market-size-2021-top-key-players-business-boosting-strategies-cagr-status-growth-opportunities-and-forecast-2027/,"Alkylamines Market | Overview, Trends, Key Drivers and Growth Forecast | DuPont, Arkema, LUXI GROUP",3 days ago,"Alkylamines market report analyses the growth, which is currently being growing due to the rising demand from emerging nations.An alkylamine is a compound in ...",https://www.mccourier.com/alkylamines-market-overview-trends-key-drivers-and-growth-forecast-dupont-arkema-luxi-group/,"Alkylamine Market Size, Top Key Players, Applications ...",4 days ago,"Fort Collins, Colorado: The Reports Globe added a new major research report covering the Alkylamine Market. The study aims to provide global investors with a ...",https://www.expresskeeper.com/2021/02/17/alkylamine-market-size-top-key-players-applications-business-statistics-trends-and-forecast-2021-2027/
22,Allcargo,ALLCARGO,"Furniture Logistics Market Competitive Dynamics & Global Outlook to 2026 | Key Players includes CH Robinson, UPS, Agility, Allcargo Logistics, CEVA Logistics, Damco and Expeditors International",21 hours ago,"... Global Outlook to 2026 | Key Players includes C.H. Robinson, UPS, Agility, Allcargo Logistics, CEVA Logistics, Damco and Expeditors International.",https://www.expresskeeper.com/2021/02/21/furniture-logistics-market-competitive-dynamics-global-outlook-to-2026-key-players-includes-c-h-robinson-ups-agility-allcargo-logistics-ceva-logistics-damco-and-expeditors-international/,How Will Global Third- Party Logistics Market React from 2021 ...,1 day ago,"... DB Schenker Logistics, Allcargo Logistics Ltd., TCI Ltd., Deutsche Post DHL, J.B. Hunt Transport, TNT Express, Expeditors International of Washington, UPS, ...",https://neighborwebsj.com/uncategorized/3553393/how-will-global-third-party-logistics-market-react-from-2021-onwards/,Furniture Logistics Market is expected to double its size in ...,1 day ago,"Growth strategies adopted by leading players are Deutsche Post DHL, DB Schenker, Kuehne + Nagel, C.H. Robinson, UPS, Agility, Allcargo Logistics, CEVA ...",https://www.expresskeeper.com/2021/02/20/furniture-logistics-market-is-expected-to-double-its-size-in-upcoming-years-keyplayers-deutsche-post-dhl-db-schenker-kuehne-nagel/
23,Alok Industries,ALOKINDS,Is Alok Industries Limited (NSE:ALOKTEXT) A Financially ...,14-Dec-17,NSEI:ALOKINDS. Alok Industries Limited (NSEI:ALOKTEXT) is a small-cap stock with a market capitalization of ₹4.39B. While investors primarily focus on the ...,https://simplywall.st/stocks/in/consumer-durables/nse-alokinds/alok-industries-shares/news/is-alok-industries-limited-nsealoktext-a-financially-sound-company,No News,No News,No News,No News,No News,No News,No News,No News
