Title,NSE
Interglobe Avi,INDIGO
IOB,IOB
IOC,IOC
Ipca Labs,IPCALAB
IRB Infra,IRB
Ircon Internati,IRCON
IRCTC,IRCTC
ITC,ITC
ITI,ITI
IWML,IIFLWAM
J. K. Cement,JKCEMENT
JagranPrakashan,JAGRAN
Jai Corp,JAICORPLTD
Jamna Auto,JAMNAAUTO
JB Chemicals,JBCHEPHARM
Jindal (Hisar),JSLHISAR
Jindal Saw,JINDALSAW
Jindal Stainles,JSL
Jindal Steel,JINDALSTEL
JK Bank,J&KBANK
JK Lakshmi Cem,JKLAKSHMI
JK Paper,JKPAPER
JK Tyre & Ind,JKTYRE
JM Financial,JMFINANCIL
Johnson Control,JCHAC
JSW Energy,JSWENERGY
JSW Steel,JSWSTEEL
JTEKT India,JTEKTINDIA
Jubilant Food,JUBLFOOD
Jubilant Life,JUBILANT
Just Dial,JUSTDIAL
Jyothy Labs,JYOTHYLAB
Kajaria Ceramic,KAJARIACER
Kalpataru Power,KALPATPOWR
Kansai Nerolac,KANSAINER
Karnataka Bank,KTKBANK
KEC Intl,KEC
KEI Industries,KEI
KNR Construct,KNRCON
Kotak Mahindra,KOTAKBANK
KPIT Tech,KPITTECH
KPR Mill,KPRMILL
KRBL,KRBL
KSB Pumps,KSB
L&T Finance,L&TFH
L&T Infotech,LTI
L&T Technology,LTTS
La Opala RG,LAOPALA
Lakshmi Machine,LAXMIMACH
Larsen,LT
Laurus Labs,LAURUSLABS
Lemon Tree Hote,LEMONTREE
LIC Housing Fin,LICHSGFIN
Linde India,LINDEINDIA
Lupin,LUPIN
Lux Industries,LUXIND
M&M,M&M
Mah Scooters,MAHSCOOTER
Mah Seamless,MAHSEAMLES
Mahanagar Gas,MGL
Mahindra Holida,MHRIL
Mahindra Life,MAHLIFE
Mahindra Logist,MAHLOG
Manappuram Fin,MANAPPURAM
Marico,MARICO
Maruti Suzuki,MARUTI
MAS Financial S,MASFIN
Max Financial,MFSL
MCX India,MCX
Meghmani Organi,MEGH
Metropolis,METROPOLIS
Minda Corp,MINDACORP
Minda Ind,MINDAIND
Mindtree,MINDTREE
Mishra Dhatu Ni,MIDHANI
MMTC Ltd,MMTC
MOIL,MOIL
Motherson Sumi,MOTHERSUMI
Motilal Oswal,MOTILALOFS
MphasiS,MPHASIS
MRF,MRF
MRPL,MRPL
Muthoot Finance,MUTHOOTFIN
NALCO,NATIONALUM
Narayana Hruda,NH
Natco Pharma,NATCOPHARM
Nava Bharat Ven,NBVENTURES
Navin Fluorine,NAVINFLUOR
Navneet,NAVNETEDUL
NBCC (India),NBCC
NCC,NCC
NESCO,NESCO
Nestle,NESTLEIND
Network 18,NETWORK18
New India Assur,NIACL
NHPC,NHPC
Nilkamal,NILKAMAL
Nippon,NAM-INDIA
NLC India,NLCINDIA
NMDC,NMDC
NOCIL,NOCIL
NTPC,NTPC
Oberoi Realty,OBEROIRLTY
Oil India,OIL
Omaxe,OMAXE
ONGC,ONGC
Oracle Fin Serv,OFSS
Orient Cement,ORIENTCEM
Orient Refract,ORIENTREF
P and G,PGHH
Page Industries,PAGEIND
Parag Milk Food,PARAGMILK
PC Jeweller,PCJEWELLER
Persistent,PERSISTENT
Petronet LNG,PETRONET
Pfizer,PFIZER
Phillips Carbon,PHILIPCARB
Phoenix Mills,PHOENIXLTD
PI Industries,PIIND
Pidilite Ind,PIDILITIND
Piramal Enter,PEL
PNB,PNB
PNB Housing Fin,PNBHOUSING
PNC Infratech,PNCINFRA
Polycab,POLYCAB
Power Finance,PFC
Power Grid Corp,POWERGRID
Prestige Estate,PRESTIGE
Prism Cement,PRSMJOHNSN
Procter&Gamble,PGHL
PTC India,PTC
PVR,PVR
Quess Corp,QUESS
Radico Khaitan,RADICO
Rail Vikas,RVNL
Rain Industries,RAIN
Rajesh Exports,RAJESHEXPO
Rallis India,RALLIS
Ramco Cements,RAMCOCEM
Rashtriya Chem,RCF
Ratnamani Metal,RATNAMANI
Raymond,RAYMOND
RBL Bank,RBLBANK
REC,RECLTD
Redington,REDINGTON
Relaxo Footwear,RELAXO
Reliance,RELIANCE
Repco Home,REPCOHOME
RITES,RITES
S H Kelkar,SHK
SAIL,SAIL
Sanofi India,SANOFI
SBI,SBIN
SBI Life Insura,SBILIFE
Schaeffler Ind,SCHAEFFLER
Schneider Infra,SCHNEIDER
Sheela Foam,SFL
Shilpa,SHILPAMED
Shipping Corp,SCI
Shoppers Stop,SHOPERSTOP
Shree Cements,SHREECEM
Shriram City,SHRIRAMCIT
Shriram Trans,SRTRANSFIN
Siemens,SIEMENS
SIS,SIS
SJVN,SJVN
SKF India,SKFINDIA
Sobha,SOBHA
Solar Ind,SOLARINDS
Somany Ceramics,SOMANYCERA
Sonata,SONATSOFTW
South Ind Bk,SOUTHBANK
SpiceJet,SPICEJET
SRF,SRF
Star Cement,STARCEMENT
Sterlite Techno,STLTECH
Strides Pharma,STAR
Sudarshan Chem,SUDARSCHEM
SUMITOMO,SUMICHEM
Sun Pharma,SUNPHARMA
Sun Pharma Adv,SPARC
Sun TV Network,SUNTV
Sundram,SUNDRMFAST
Sunteck Realty,SUNTECK
Suprajit Eng,SUPRAJIT
Supreme Ind,SUPREMEIND
Suzlon Energy,SUZLON
Swan Energy,SWANENERGY
Symphony,SYMPHONY
Syngene Intl,SYNGENE
Tamil Newsprint,TNPL
Tasty Bite,TASTYBITE
Tata Chemicals,TATACHEM
Tata Coffee,TATACOFFEE
Tata Comm,TATACOMM
TATA Cons. Prod,TATACONSUM
Tata Elxsi,TATAELXSI
Tata Inv Corp,TATAINVEST
Tata Metaliks,TATAMETALI
Tata Motors,TATAMOTORS
Tata Power,TATAPOWER
Tata Steel,TATASTEEL
TCNS Clothing C,TCNSBRANDS
TCS,TCS
TeamLease Ser.,TEAMLEASE
Tech Mahindra,TECHM
Thermax,THERMAX
Thyrocare Techn,THYROCARE
Time Techno,TIMETECHNO
Timken,TIMKEN
Titan Company,TITAN
TML-D,TATAMTRDVR
Torrent Pharma,TORNTPHARM
Torrent Power,TORNTPOWER
Trent,TRENT
Trident,TRIDENT
TTK Prestige,TTKPRESTIG
TV TodayNetwork,TVTODAY
TV18 Broadcast,TV18BRDCST
TVS Motor,TVSMOTOR
TVS Srichakra,TVSSRICHAK
UCO Bank,UCOBANK
Uflex,UFLEX
Ujjivan Financi,UJJIVAN
UltraTechCement,ULTRACEMCO
Union Bank,UNIONBANK
United Brewerie,UBL
UPL,UPL
V-Guard Ind,VGUARD
V-Mart Retail,VMART
Va Tech Wabag,WABAG
Vaibhav Global,VAIBHAVGBL
Vakrangee,VAKRANGEE
Vardhman Text,VTL
Varroc Engineer,VARROC
Varun Beverages,VBL
Vedanta,VEDL
Venkys,VENKEYS
Vinati Organics,VINATIORGA
VIP Industries,VIPIND
Vodafone Idea,IDEA
Voltas,VOLTAS
VRL Logistics,VRLLOG
VST,VSTIND
WABCO India,WABCOINDIA
Welspun Corp,WELCORP
Welspun India,WELSPUNIND
Westlife Dev,WESTLIFE
Whirlpool,WHIRLPOOL
Wipro,WIPRO
Wockhardt,WOCKPHARMA
Zee Entertain,ZEEL
Zensar Tech,ZENSARTECH
Zydus Wellness,ZYDUSWELL
